area,crawl_time,decoration,elevator,flood,follow_number,house_id,location,look_number,orientation,pub_duration,room,title,total_price,total_unit,unit_price,xiaoqu
90.05,2019-06-26 12:44:23,精装,有电梯,低楼层(共20层)2012年建板塔结合,86,96c345630819bda27987fd8cdb2ca0fd,外金沙,59,西北,1个月以前,2室2厅,房子满2年  朝中庭安静 视野好 可直接入住,168,万,18657,金沙海棠 
77.61,2019-06-26 12:44:23,简装,无电梯,低楼层(共7层)1998年建板楼,10,836cf6c37e8dff3e1e958971da65f1dd,一品天下,11,东南,6天以前,3室2厅,双地铁，出行方便，生活配套齐全。,105,万,13530,华夏之家 
86,2019-06-26 12:44:23,精装,有电梯,中楼层(共11层)2011年建板塔结合,26,e734373622db2bea5ef53fdc3787550d,成外,29,东北,25天以前,3室2厅,中铁塔米亚装修套三，对中庭，中楼层，一梯四户,121,万,14070,中铁塔米亚 
59.38,2019-06-26 12:44:23,精装,有电梯,高楼层(共29层)2013年建板塔结合,14,af0f92205263482afafed58f46db952d,大丰,65,东,1个月以前,2室1厅,达令港居家装修小套二户型反正无浪费采光好,81,万,13641,汇融悉尼湾达令港 
34.35,2019-06-26 12:44:23,简装,有电梯,中楼层(共22层)2008年建塔楼,17,f520122948fe2b898ff71261c3988e25,沙湾,26,东南,1个月以前,2室1厅,跃层套二，交通便利，采光好。配套齐全,63,万,18341,锦西国际 
51.81,2019-06-26 12:44:23,精装,有电梯,低楼层(共26层)2015年建板塔结合,17,65b4f15754a4bdb30d723cfbc50ed6f1,犀浦,46,东南,1个月以前,2室2厅,蓝光幸福满庭标准套二带衣帽间 满两年 自住装修,82,万,15828,蓝光幸福满庭 
84.26,2019-06-26 12:44:23,简装,无电梯,中楼层(共7层)1997年建板楼,19,0d4a2de9a8b85c226a05b03100ddc909,府南新区,5,南,1个月以前,3室1厅,石人巷6号 中间楼层套三 不临街,95,万,11275,石人巷6号 
85.91,2019-06-26 12:44:23,精装,有电梯,低楼层(共11层)2004年建塔楼,33,1e1d470d53f4d95502c4a66799e0f3fe,营门口,17,东南,8个月以前,2室1厅,金城丽景 有家具家电 户型方正落地窗，采光好，通风好,133.8,万,15575,金城丽景 
82.11,2019-06-26 12:44:23,简装,有电梯,中楼层(共23层)2009年建塔楼,94,dbf0f7b5adb25366d96bca9ce2831de5,金沙,54,西南,3个月以前,2室1厅,中大君悦金沙三期 标准套二 居家装修 拎包入住,187,万,22775,中大君悦金沙三期 
44.9,2019-06-26 12:44:23,简装,有电梯,高楼层(共12层)2004年建板楼,8,5f027067556a11eb99fdb02205b55da2,花牌坊,9,东南,2个月以前,1室0厅,满五唯一！一环内枫桥晓月电梯住宅！！,57,万,12695,枫桥晓月 
