area,crawl_time,decoration,elevator,flood,follow_number,house_id,location,look_number,orientation,pub_duration,room,title,total_price,total_unit,unit_price,xiaoqu
78,2019-06-26 12:50:00,精装,有电梯,中楼层(共18层)2008年建塔楼,51,af3b72afb2ce0ba16dc6b526ac2c907e,坑口,17,西南,一年前,2室2厅,四季花园 电梯两房 近地铁 小区管理 业主诚心出售,282,万,36154,四季花园 
61.1,2019-06-26 12:50:00,精装,有电梯,高楼层(共8层)1999年建塔楼,69,ef6904de67f2d72a560f7065909b0f49,金碧,17,南 北,1个月以前,2室2厅,侨诚花园 厅出阳台 业主新装修 装修保养 采光好,225,万,36825,侨诚花园秋月苑 
79.9,2019-06-26 12:50:00,简装,有电梯,高楼层(共15层)1997年建塔楼,31,1356f42bd40e28aacbee743576cacbe5,机场路,11,北,23天以前,2室1厅,心谊交警宿舍 厅出阳台 望花园 温馨大两房,250,万,31290,心谊交警宿舍 
62.17,2019-06-26 12:50:00,精装,有电梯,高楼层(共11层)2004年建塔楼,46,35469c30c46d9617f6f0bbfce9ecd781,大石,26,东南,1个月以前,2室1厅,滨江绿园  电梯南向二房 采光好 格局方正,205,万,32975,滨江绿园 
77.8,2019-06-26 12:50:00,精装,无电梯,中楼层(共7层)2000年建塔楼,38,fb12baaba414d792f11b7aa83198c988,东怡新区,13,北,17天以前,2室1厅,东倩园 少有两房 中楼层采光通风通透好,203,万,26093,东怡新区东倩园 
61.99,2019-06-26 12:50:00,简装,无电梯,高楼层(共7层)塔楼,34,b610138af29379885db8e4c50f3bc154,江南西,7,东,19天以前,3室1厅,江南西路 大院管理 房改房得房率高,170,万,27424,江南西路 
118,2019-06-26 12:50:00,精装,有电梯,高楼层(共16层)2011年建塔楼,14,bdc5f95b76f2179a65d6716f1010948f,黄埔区府,5,北,16天以前,4室2厅,黄埔花园，精装修四房，户型方正实用,525,万,44492,黄埔花园 
80.73,2019-06-26 12:50:00,精装,无电梯,中楼层(共6层)2003年建塔楼,10,98e06ea595425a43929414544f32b616,钟村,4,北,2个月以前,2室2厅,锦绣生态园菁华轩 大两房保养新净,195,万,24155,锦绣生态园菁华轩 
47.99,2019-06-26 12:50:00,精装,无电梯,高楼层(共9层)2002年建塔楼,105,c3ebf8329a74a6aab2379473d66288dc,新港西,8,南,2个月以前,2室1厅,雅景苑 正规小两房 南向房出阳台 保养新净,170,万,35425,雅景苑 
76.92,2019-06-26 12:50:00,精装,有电梯,低楼层(共28层)2015年建塔楼,44,da80b4e0620136b07597822e2ec0cb1f,香雪,26,北,11天以前,3室2厅,万科金色梦想 3室2厅 218万,218,万,28342,万科金色梦想 
