area,crawl_time,decoration,elevator,flood,follow_number,house_id,location,look_number,orientation,pub_duration,room,title,total_price,total_unit,unit_price,xiaoqu
87.38,2019-06-26 12:49:05,精装,有电梯,12层2015年建板楼,19,6e7f6463e2a8b376a9e2008b95aae031,西溪,47,南,1个月以前,2室2厅,西溪诚园宜居好房 业主诚心出售 绿城物业 采光无忧,560,万,64088,西溪诚园致诚苑 
62.58,2019-06-26 12:49:05,简装,有电梯,低楼层(共32层)2014年建板塔结合,13,f6b9f12a54e7e27b44a042f938e28f37,高教园区东,1,南 北,12天以前,2室1厅,云水站两房满二年 生活交通，配套完善 楼层好 文海,205,万,32759,景冉佳园 
45.56,2019-06-26 12:49:05,精装,有电梯,中楼层(共18层)2005年建板楼,51,2ff393f3c88a1646db919c5cfabcda4b,和睦,14,南,1个月以前,1室1厅,此房满两年无需缴纳增值税中间楼层自住装修户型正气,172,万,37753,小河佳苑 
83.12,2019-06-26 12:49:05,简装,有电梯,低楼层(共14层)2015年建板楼,31,e1451505adb64be73ac23e38a87c41b6,丁桥,17,南,3个月以前,2室2厅,此房满两年 两房朝南 诚心出售 看房方便。,249,万,29957,广大融城印象 
63.23,2019-06-26 12:49:05,简装,无电梯,5层1983年建板楼,41,5d586a381e06a13a9ed1c08c3d0bee73,学军,17,南,3个月以前,3室1厅,全明户型 三房有钥匙随时可以看 不沿马路,540,万,85403,下宁巷 
108.59,2019-06-26 12:49:05,精装,无电梯,中楼层(共5层)2003年建板楼,35,39d4d314c851d47717cd70043fa6bfe5,星桥,13,南,22天以前,3室2厅,小区位置好，楼层佳，房东诚心出售！！！,215,万,19800,广厦天都城天风苑 
89,2019-06-26 12:49:05,毛坯,有电梯,高楼层(共34层)2017年建板楼,10,c5e0c292c1e3bb8941a592a0145e85f6,西兴,15,南,2个月以前,3室1厅,次新小区 双地铁口 纯毛坯可自行设计,360,万,40450,阳光城上府 
89,2019-06-26 12:49:05,精装,有电梯,18层2016年建板楼,43,15773122b1bcb3bb6e7134a167b270ed,西溪,13,南 北,1个月以前,3室2厅,河滨之城开发商精装修，沿河视野好，中间楼层，采光好,480,万,53933,融创河滨之城雨澜轩 
72.48,2019-06-26 12:49:05,精装,有电梯,高楼层(共18层)2012年建塔楼,100,491bfea14f4c4ff728462a031f051707,钱江世纪城,15,南,29天以前,2室2厅,钱江世纪城板块 小面积  jing装修低总价  适合刚需,210,万,28974,林之语 
89,2019-06-26 12:49:05,精装,有电梯,高楼层(共7层)2016年建板楼,11,29122ca33c81f56de85cc88150660da1,未来科技城,17,南,20天以前,3室2厅,三房二卫户型  诚信出售 精装修自住  满二年,370,万,41574,合景叠彩园 
96,2019-06-26 12:49:05,简装,有电梯,中楼层(共16层)2011年建板楼,27,d3d6d96dd3b4a56d0b3bfecfc9838940,乔司,43,南 北,31天以前,3室2厅,宜家商圈，南北通透三房，户型方正,233,万,24271,复地连城国际 
54.22,2019-06-26 12:49:05,简装,有电梯,中楼层(共27层)2004年建板楼,36,5ed3ef4206718393ebcdeeae92a66e4f,萧山新城区,17,南,3个月以前,1室0厅,绿都百瑞广场，距离建设三路地铁口20米,93,万,17153,绿都百瑞广场 
57.5,2019-06-26 12:49:05,简装,无电梯,中楼层(共6层)1991年建板楼,80,c9ce8b8bb10aa9dd284c087b9091867b,清泰,22,南,一年前,2室1厅,龙翔桥地铁口1000米 步行去西湖  浙一浙二医院500米,230,万,40000,紫金观巷 
89,2019-06-26 12:49:05,精装,有电梯,中楼层(共17层)2011年建塔楼,12,2bc4a7e8141560cfbde2eba320cd7108,火车东站,27,南,2个月以前,3室2厅,寻寻觅觅，城东滨江开发商小三房，等一个有缘人,410,万,46068,滨江曙光之城 
87.73,2019-06-26 12:49:05,精装,有电梯,高楼层(共34层)2016年建板楼,68,a7ff5f7722acd1ef4282c780a5f3ddbb,临平,35,南,2个月以前,3室1厅,临平欢乐城 精装三房 户型正气 看房方便 房东诚心出售,230,万,26217,华元欢乐城 
35.35,2019-06-26 12:49:05,精装,无电梯,低楼层(共5层)1994年建板楼,92,da84dcb6f42783d9d87f3514e2c13abf,建国北路,11,南,5个月以前,1室1厅,地铁口 2000年房龄  精装修 架空层 公积金三成可做,162,万,45828,锦园小区 
49.65,2019-06-26 12:49:05,精装,无电梯,高楼层(共7层)1990年建板楼,99,0c07ef423cf20f97e8b88edc5d5ed01d,建国北路,43,西,28天以前,2室1厅,树园小区 地铁口 装修清爽 采光好,185,万,37261,树园 
89.1,2019-06-26 12:49:05,毛坯,有电梯,中楼层(共18层)2015年建塔楼,21,51446945435a6e0c118d492f0cf298b4,万达广场,44,南,2个月以前,3室2厅,德信晓宸 刚需三居室 视野开阔 满2年 免增值税,370,万,41527,德信晓宸 
