area,crawl_time,decoration,elevator,flood,follow_number,house_id,location,look_number,orientation,pub_duration,room,title,total_price,total_unit,unit_price,xiaoqu
70.96,2019-06-26 12:48:45,精装,无电梯,中楼层(共6层)1997年建板楼,308,5d9942f2d27eef765c53c22bfcb520ec,共富,20,南,10天以前,2室2厅,近地铁一号线+婚房装修+满五唯一+中间楼层,280,万,39459,共富一村 
76.53,2019-06-26 12:48:45,精装,无电梯,中楼层(共4层)2006年建板楼,97,cde2c09d1a984348d992d4ba18f66e2b,周浦,6,南 北,1个月以前,2室2厅,安阁苑双南户型、76平米大两房、自住装修、位置安静,260,万,33974,安阁苑 
70.44,2019-06-26 12:48:45,精装,无电梯,中楼层(共6层)1995年建板楼,44,54303a64bb16359cd8f86bd251bf8b78,七宝,19,南 北,17天以前,2室2厅,南北通 售后公房满5年  楼层好 精装修  诚意出售,385,万,54657,园艺新村 
97.41,2019-06-26 12:48:45,简装,无电梯,中楼层(共6层)2003年建板楼,39,140bf8ccee0addcb571a090f93bb5a80,惠南,11,南 北,11天以前,2室2厅,店长推荐 三开间朝南 一手动迁税费少 价格可谈,238,万,24433,鑫通公寓 
120.07,2019-06-26 12:48:45,精装,有电梯,高楼层(共28层)2000年建塔楼,56,2c8ff5379f23e6d52f0c352c9bc2a0c7,龙华,2,南,一年前,2室2厅,两房*三房 买进价高 高区景观楼层 全明户型 位置好,998,万,83119,徐汇苑 
72.23,2019-06-26 12:48:45,精装,无电梯,低楼层(共6层)1994年建板楼,30,6b0d8e1d7698d66752d694451a0e7464,古美,22,南,10天以前,2室1厅,精装修 双南全明户型  楼层好 满五年唯一 看房方便,365,万,50534,平吉二村 
108,2019-06-26 12:48:46,精装,有电梯,低楼层(共22层)板楼,116,bd699316c7f7fbfd710559d58d73ab40,大宁,49,南,4个月以前,3室2厅,金茂府二期 科技南北三房 精装未入住 婚房,1230,万,113889,大宁金茂府 
72.56,2019-06-26 12:48:46,精装,有电梯,中楼层(共16层)2012年建板楼,98,5f71e20c5b67e7dfd4a9526bad2c5738,泗泾,42,南,2个月以前,2室1厅,新凯家园三期 精装修两房  拎包入住  双卧朝南,215,万,29631,新凯城银杏苑 
60.22,2019-06-26 12:48:46,精装,无电梯,中楼层(共6层)2006年建板楼,23,e9399a65c0fd79a6803fbd5268828905,松江老城,14,南,9天以前,2室1厅,精选丨华亭新家百合苑3楼双南房+采光充足+视野开阔！,215,万,35703,华亭新家百合苑 
90.78,2019-06-26 12:48:46,精装,有电梯,中楼层(共5层)板楼,54,96a513918ace85ca44f721e581e40a6c,上大,12,南 北,1个月以前,2室2厅,朗香二期类花园洋房，南北户型，你的口味，喜欢来撩,510,万,56180,大华朗香花园(二期) 
52.24,2019-06-26 12:48:46,简装,无电梯,低楼层(共6层)1985年建板楼,14,39e04cbe78959225413c3d8d62b7ffd5,源深,33,南,1个月以前,2室1厅,梅园便宜南北2房，业主很爽气，诚意出售,442,万,84610,梅园一街坊 
