area,crawl_time,decoration,elevator,flood,follow_number,house_id,location,look_number,orientation,pub_duration,room,title,total_price,total_unit,unit_price,xiaoqu
92.07,2019-06-26 12:43:33,简装,无电梯,中楼层(共6层)2004年建板楼,49,42ce852260da50e9ca42df5f77219dfe,龙华中心,11,南 北,一年前,3室2厅,优品建筑 满两年精致三房，中楼层 采光好 不临街 南北,395,万,42903,优品建筑 
100.2,2019-06-26 12:43:33,精装,有电梯,低楼层(共25层)2002年建板塔结合,7,4ba9cc8ab89b22727be8313c129213f5,石厦,17,东南,2个月以前,3室2厅,红本在手，交易快，出行便利，配套完善，购物快捷。,600,万,59881,众孚大厦 
72.9,2019-06-26 12:43:33,简装,无电梯,低楼层(共8层)1996年建板塔结合,17,37c4cdcce195335c0af9dcb56ecef256,龙华新区,26,南,1个月以前,2室2厅,小区中间位置，中间楼层，朝南向，费用少。,320,万,43896,丰润花园 
28.57,2019-06-26 12:43:33,简装,有电梯,中楼层(共7层)1989年建板塔结合,5,ed84e76841d21447a8f75169e336a88c,科技园,5,北,14天以前,1室0厅,泰阳硅谷公寓 满五唯一 红本在手 空置 带装修,216,万,75604,泰阳硅谷公寓 
76.55,2019-06-26 12:43:33,精装,有电梯,低楼层(共17层)2005年建板塔结合,366,9566c6c41efe14c4d0a6c35e862a7821,翻身,54,东北,9个月以前,2室2厅,近壹方城！体育馆旁精装2房！满五年，只有一套税费少,385,万,50294,兴业华庭 
93.22,2019-06-26 12:43:33,简装,有电梯,高楼层(共20层)2003年建塔楼,29,a0a1ce69beb60dcf039b8f20eefc9c1c,西丽,29,西北,3个月以前,3室2厅,地铁7号线 桃源村大社区 温馨三居 业主诚心出售,495,万,53101,桃源村二期 
65.5,2019-06-26 12:43:33,精装,有电梯,中楼层(共9层)2002年建板塔结合,41,3a4f1c05f5c90b24687742d6319d5f3c,西乡,24,西南,9天以前,2室2厅,大益广场  精装修西南两房  满两年  业主诚心出售,360,万,54962,大益广场 
81.53,2019-06-26 12:43:33,精装,有电梯,低楼层(共31层)2016年建塔楼,17,c67d1b84c6d402eda1b39ac5585bc68e,观澜,23,南,6个月以前,3室2厅,正规3房，20多万的装修，采光充足，视野开阔,362,万,44401,珑门 
68.78,2019-06-26 12:43:33,精装,有电梯,高楼层(共23层)2002年建板塔结合,7,5c7b962360d1b57a2f09a3024496ff58,布心,5,南,14天以前,2室1厅,精装2房户型，全方位采光，很实用客厅跟房间都很大,320,万,46526,彩世界家园 
42.96,2019-06-26 12:43:33,精装,有电梯,中楼层(共17层)2004年建板塔结合,28,6bd6cec43b8c30457527731eef1cf1b9,龙华新区,35,东北,1个月以前,1室1厅,高楼层朝花园精装，满两年税费少，看房方便,190,万,44228,苹果园 
97.13,2019-06-26 12:43:33,精装,有电梯,低楼层(共23层)2005年建板楼,36,041375051653b0bee1e25d30cf71120d,布吉关,34,东,7个月以前,3室2厅,可园三房二卫好房，满五年，带大阳台，采光好,428,万,44065,佳兆业可园二期 
86.01,2019-06-26 12:43:33,精装,有电梯,低楼层(共18层)2003年建板塔结合,13,8a0440dfe29a09679ace77eeb38166f7,莲塘,36,南,1个月以前,3室2厅,名骏豪庭 朝南三房 客厅出阳台 红本税费少 看房方便,460,万,53483,名骏豪庭 
70.48,2019-06-26 12:43:33,精装,无电梯,高楼层(共7层)1997年建板楼,45,5adb43d88e7bace13b1e131e92b753a0,西丽,52,西南,1个月以前,3室1厅,精装修安静三房，中间楼层，拎包入住,435,万,61720,桃源村一期 
95.07,2019-06-26 12:43:33,毛坯,有电梯,中楼层(共40层)2017年建塔楼,32,f285b32e8f9422138670dfa5c3f663f8,宝安中心,36,东北,10个月以前,3室2厅,鸿荣源物业 地铁口  生活休闲配套齐全,1150,万,120964,鸿荣源·壹方中心|玖誉 
69.93,2019-06-26 12:43:33,精装,有电梯,中楼层(共11层)2003年建板塔结合,62,943d5a01680d234ef4ab988325184b22,丹竹头,81,北,2个月以前,2室2厅,丹竹头康桥二期-满五唯一红本税费少-看花园安静,285,万,40756,中城康桥花园二期 
63.45,2019-06-26 12:43:34,简装,有电梯,中楼层(共13层)1999年建板楼,18,b938b9401bb3c81a6b3f56020fac4f2a,车公庙,11,东,7天以前,2室1厅,都市花园东向方正两房，地段好，诚心出售,420,万,66194,都市花园 
59.84,2019-06-26 12:43:34,精装,有电梯,低楼层(共8层)2005年建塔楼,122,f64d9039c448026ac406c64a80340f59,西乡,54,西北,1个月以前,2室1厅,房子满五唯一红本在手，装修保养好，买过来可以直接住,345,万,57654,绿海名苑 
46.66,2019-06-26 12:43:34,精装,有电梯,低楼层(共30层)2003年建板塔结合,43,f1599a7da9a0e1fdd272e7f294698713,后海,55,西北,1个月以前,2室2厅,精装小两房 户型方正 海岸城商圈,368,万,78869,金海岸大厦 
119.89,2019-06-26 12:43:34,精装,有电梯,中楼层(共18层)2004年建板塔结合,17,7bd6423ba338eed91ce49aab6aa77495,南山中心,13,西南,3个月以前,3室2厅,美墅蓝山家园 满五大三房 厅出阳台 南向看文心公园,1150,万,95922,美墅蓝山家园 
