area,decoration,elevator,flood,follow_number,location,look_number,orientation,pub_duration,room,title,total_price,unit,unit_price,xiaoqu
62.08,简装,有电梯,高楼层(共32层)2005年建板塔结合,15,上下沙,61,东北,25天以前,2室1厅,花好园 2室1厅 450万,450,万,单价72488元/平米,花好园 
88.83,精装,有电梯,低楼层(共19层)1992年建板楼,8,百花,2,南 北,3个月以前,3室2厅,南天二，端头位置，面积大拓展，业主诚售,1400,万,单价157605元/平米,南天二花园 
87.75,精装,有电梯,中楼层(共10层)2003年建板塔结合,15,蛇口,29,东南,1个月以前,2室1厅,海月花园二期 2室1厅 830万,830,万,单价94587元/平米,海月花园二期 
65.5,精装,有电梯,中楼层(共9层)2002年建板塔结合,36,西乡,24,西南,9天以前,2室2厅,大益广场  精装修西南两房  满两年  业主诚心出售,360,万,单价54962元/平米,大益广场 
63.45,简装,有电梯,中楼层(共13层)1999年建板楼,18,车公庙,10,东,6天以前,2室1厅,都市花园东向方正两房，地段好，诚心出售,420,万,单价66194元/平米,都市花园 
59.84,精装,有电梯,低楼层(共8层)2005年建塔楼,117,西乡,52,西北,31天以前,2室1厅,房子满五唯一红本在手，装修保养好，买过来可以直接住,345,万,单价57654元/平米,绿海名苑 
86,精装,有电梯,中楼层(共32层)2004年建板塔结合,36,上下沙,81,南,31天以前,2室2厅,碧海红树园 2+1房 大阳台 户型方正实用 业主诚心出售,596,万,单价69303元/平米,碧海红树园 
44.61,精装,有电梯,高楼层(共30层)1984年建塔楼,64,罗湖口岸,16,南 东南,20天以前,2室2厅,罗湖口岸实用两房  高层朝南  自己住看房方便,195,万,单价43713元/平米,德兴大厦 
75.28,毛坯,有电梯,低楼层(共27层)2015年建板塔结合,25,蛇口,25,西北,14天以前,2室1厅,满两年/安静/有钥匙看房方便/房东诚心出售,425,万,单价56456元/平米,山海津 
74.46,简装,有电梯,低楼层(共22层)2002年建板塔结合,21,南山中心,40,北,1个月以前,2室2厅,海印长城优质两房 车位充足 花园社区 楼下海岸城,669,万,单价89847元/平米,海印长城 
78.51,精装,有电梯,中楼层(共24层)2003年建塔楼,65,螺岭,24,南,3个月以前,3室2厅,金城华庭 朝南小3房 业主自住 看房方便,562,万,单价71584元/平米,金城华庭 
150.87,精装,有电梯,中楼层(共29层)2006年建板塔结合,27,宝安中心,3,西南 东北,3个月以前,5室2厅,宝安新区5房3卫，大阳台29平，高楼层，环视欢乐海岸,970,万,单价64294元/平米,金成时代家园 
70.77,简装,有电梯,高楼层(共11层)2000年建板塔结合,60,新安,32,东北,3个月以前,2室1厅,电梯大两房 房子满五年 居家安静,395,万,单价55815元/平米,弘雅花园雅兰亭四期 
75.61,简装,有电梯,中楼层(共23层)2007年建塔楼,74,前海,23,南,8个月以前,2室1厅,业主诚心卖，房子满五年唯一，税费少,560,万,单价74065元/平米,新德家园 
129.6,精装,有电梯,低楼层(共24层)2007年建板塔结合,9,桃源居,11,东南,10天以前,4室2厅,满五唯一 桃源居十五区全新装修4+1房,598,万,单价46142元/平米,桃源居十五区 
78.03,精装,有电梯,低楼层(共32层)2011年建塔楼,45,新安,68,西南,30天以前,3室2厅,精装修3房 可直接入住 带弘雅 看房方便,412,万,单价52801元/平米,黄金大厦 
79.25,精装,有电梯,低楼层(共33层)2008年建板塔结合,26,前海,4,东南,7天以前,3室1厅,诺德假日花园，精装三房，满五年唯一,718,万,单价90600元/平米,诺德假日花园 
173.85,简装,有电梯,低楼层(共28层)2009年建板塔结合,96,华侨城,20,南 北,4个月以前,3室2厅,纯水岸满五年三房，阳台可打羽毛球，南北通透,1460,万,单价83981元/平米,波托菲诺纯水岸七期 
24.45,简装,有电梯,中楼层(共20层)2004年建板塔结合,45,地王,1,西,一年前,1室0厅,星桂园标准一房，地铁口物业，近京基万象！,133,万,单价54397元/平米,星桂园 
68.7,简装,无电梯,中楼层(共8层)2002年建板塔结合,50,布吉石芽岭,38,南,1个月以前,2室2厅,步梯两房，实用高，满五唯一，税费成本低，,256,万,单价37264元/平米,半岛苑 
95.98,精装,无电梯,中楼层(共8层)1999年建板塔结合,101,龙华中心,34,南,2个月以前,3室2厅,安静实用大三房，保养好，户型方正，居家优选，诚心卖,335,万,单价34904元/平米,康华苑 
91.53,精装,有电梯,高楼层(共18层)2003年建塔楼,12,福田保税区,62,南,1个月以前,3室2厅,高楼层，南北通，看香港米铺，视野开阔,698,万,单价76260元/平米,丽港湾 
43.36,简装,有电梯,高楼层(共28层)2004年建板塔结合,175,福田中心,82,北,10个月以前,1室1厅,岗厦地铁口D出口一房一厅，厅出阳台,240,万,单价55351元/平米,润恒大厦 
74.08,精装,有电梯,高楼层(共24层)2006年建板塔结合,24,后海,12,南 西南,21天以前,2室2厅,信和春天 满5V1 高楼层 西南观大南山山景 拎包入住,525,万,单价70870元/平米,信和自由广场 
31.9,精装,有电梯,中楼层(共5层)2010年建板塔结合,113,大学城,27,北,3个月以前,1室0厅,"7号地铁口精装一房,红本在手,随时可以过户",206,万,单价64577元/平米,德意名居一期 
39.91,简装,有电梯,中楼层(共25层)2003年建板塔结合,11,八卦岭,23,南,16天以前,1室1厅,正南朝向 满五唯一 可免个税 业主诚心出售 看房方便,222,万,单价55626元/平米,鹏盛年华 
